COMPANY NAME,RATING,REVIEWS,INDUSTRY,INDIA HQ,BRANCHES,PACKAGE,Highly_rated_for,Critically_rated_for
Zscaler Softech,3.3,-403,Software Product,Bangalore / Bengaluru,13 other locations,2.8k,Job Security,"Salary & Benefits, Promotions / Appraisal, Work Satisfaction"
Agro Tech Foods,3.9,-401,FMCG,Hyderabad / Secunderabad,77 other locations,1.2k,Salary & Benefits,"Job Security, Promotions / Appraisal"
Purplle.com,3.6,-400,Beauty & Personal Care,Mumbai,32 other locations,1.8k,"Job Security, Company Culture, Work Life Balance",
Falcon Autotech,3.9,-401,Industrial Automation,Noida,16 other locations,1.8k,"Company Culture, Job Security, Skill Development / Learning",
Larsen & Toubro Group,4.1,-400,Engineering & Construction,Chennai,73 other locations,1k,"Promotions / Appraisal, Salary & Benefits",
DataMetica,3.2,-400,IT Services & Consulting,Pune,6 other locations,2.7k,"Work Life Balance, Job Security, Skill Development / Learning",
Titagarh Rail Systems,2.8,-400,Railways,Kolkata,18 other locations,1.5k,Skill Development / Learning,
PC Jewellers,3.9,-400,Metals & Mining,New Delhi,72 other locations,942,"Work Life Balance, Salary & Benefits, Company Culture","Job Security, Promotions / Appraisal"
A. O. Smith India Water Products Private Limited,3.9,-401,Consumer Electronics & Appliances,Bangalore / Bengaluru,50 other locations,1.3k,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",
FM LOGISTIC,3.9,-400,Logistics,Pune,35 other locations,1.2k,Job Security,"Promotions / Appraisal, Salary & Benefits"
Rapido,3.5,-400,Internet,Bangalore / Bengaluru,56 other locations,2.2k,"Company Culture, Job Security, Work Life Balance",Promotions / Appraisal
Dow Chemical International Private Limited,3.8,-401,Chemicals,Chennai,15 other locations,2k,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal
Ami Lifesciences,3.9,-400,Pharma,Vadodara,10 other locations,1.7k,"Company Culture, Job Security, Skill Development / Learning",
Schoolnet India,4,-400,EdTech,Mumbai,90 other locations,1k,"Job Security, Promotions / Appraisal, Company Culture",
Aramex,3.3,-399,Logistics,Mumbai,52 other locations,1.2k,Promotions / Appraisal,
Ingersoll Rand,3.9,-399,Industrial Machinery,Bangalore / Bengaluru,29 other locations,2.3k,"Promotions / Appraisal, Salary & Benefits, Job Security",
Infinity Learn,3.8,-401,EdTech,Hyderabad / Secunderabad,17 other locations,1.7k,"Job Security, Skill Development / Learning, Work Life Balance","Salary & Benefits, Promotions / Appraisal"
Dun & Bradstreet,3.2,-398,Analytics & KPO,Mumbai,16 other locations,2.8k,"Job Security, Company Culture, Skill Development / Learning",
Roop Automotives,4.2,-398,Auto Components,Gurgaon / Gurugram,13 other locations,1.3k,"Promotions / Appraisal, Company Culture, Salary & Benefits",
Birla White,4.3,-398,Building Material,Jodhpur,106 other locations,1.1k,Job Security,"Promotions / Appraisal, Salary & Benefits, Company Culture"
Fossil Group,3.8,-398,Fashion & Textile,Bangalore / Bengaluru,37 other locations,1.9k,"Company Culture, Skill Development / Learning, Job Security",
Godrej Jersey,4.1,-398,Hyderabad / Secunderabad +39 other locations,,,1.2k,,
Groupon,3.2,-397,Internet,Chennai,10 other locations,2.3k,Job Security,Promotions / Appraisal
Premium Transmission,3.3,-397,Industrial Machinery,Pune,16 other locations,1.8k,"Promotions / Appraisal, Job Security, Company Culture",
Comcast,4,-397,Telecom,Chennai,12 other locations,4k,"Skill Development / Learning, Promotions / Appraisal, Work Satisfaction",
Global Indian International School,4.1,-397,Education & Training,Noida,23 other locations,982,"Promotions / Appraisal, Work Satisfaction",
Nous Infosystems,3.7,-397,IT Services & Consulting,Bangalore / Bengaluru,8 other locations,3.2k,"Skill Development / Learning, Company Culture, Work Life Balance",
The Indian Hotels Company,4.1,-397,Hospitality,Mumbai,51 other locations,1.6k,"Job Security, Skill Development / Learning, Salary & Benefits",Promotions / Appraisal
Novartis Healthcare,4.1,-397,Pharma,Hyderabad / Secunderabad,26 other locations,3.1k,"Company Culture, Skill Development / Learning, Work Life Balance",
Pocket FM,2.6,-397,Media & Entertainment,Bangalore / Bengaluru,16 other locations,1.7k,"Job Security, Skill Development / Learning, Work Life Balance",
Mazagon Dock,4.4,-397,Ports & Shipping,Mumbai,10 other locations,1.1k,"Job Security, Company Culture, Skill Development / Learning",
Midland Microfin Limited,3.5,-397,NBFC,Jalandhar,114 other locations,859,"Company Culture, Job Security, Skill Development / Learning",
Tagros Chemicals,3.5,-397,Agro Chemicals,Cuddalore,12 other locations,1.8k,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
Ozone Overseas,3.9,-397,Architecture & Interior Design,New Delhi,57 other locations,1.3k,"Company Culture, Skill Development / Learning, Work Life Balance",
e2open,3.5,-398,Software Product,Bangalore / Bengaluru,15 other locations,3.3k,Promotions / Appraisal,
Pearson Education India,3.9,-397,Education & Training,Bangalore / Bengaluru,57 other locations,1.7k,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
Oberoi Realty,4.3,-396,Real Estate,Mumbai,11 other locations,1.8k,"Company Culture, Work Life Balance, Skill Development / Learning",
Roca Bathroom Products,3.8,-396,Building Material,Chennai,59 other locations,1.4k,"Job Security, Work Life Balance, Company Culture",
Kiswok Industries,3.3,-396,Iron & Steel,Kolkata,6 other locations,1.7k,"Skill Development / Learning, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
Hexagon Nutrition,4,-396,Food Processing,Mumbai,31 other locations,997,Job Security,"Promotions / Appraisal, Company Culture, Work Life Balance"
Varindera Constructions,4.5,-397,Engineering & Construction,New Delhi,19 other locations,908,"Job Security, Salary & Benefits",
OnePlus,3.8,-396,Consumer Electronics & Appliances,Bangalore / Bengaluru,56 other locations,1.9k,"Skill Development / Learning, Company Culture, Job Security",
Neilsoft,3.5,-395,Engineering & Construction,Pune,11 other locations,2.7k,Work Life Balance,"Skill Development / Learning, Job Security, Promotions / Appraisal"
Echobooom Management & Entrepreneurial Solutions,3.6,-395,Marketing & Advertising,Mumbai,19 other locations,454,Salary & Benefits,Work Life Balance
Ess Kay Fincorp,4,-395,NBFC,Jaipur,109 other locations,980,"Job Security, Work Life Balance, Company Culture",Salary & Benefits
Mediamint,3.2,-396,Marketing & Advertising,Hyderabad / Secunderabad,8 other locations,2.6k,Promotions / Appraisal,
Qwik Supply Chain,3.7,-395,Mumbai +139 other locations,,,1k,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
Flatworld Solutions,3.4,-395,BPO,Bangalore / Bengaluru,8 other locations,2.7k,"Job Security, Skill Development / Learning",
Scientific Publishing Services,3.7,-395,Analytics & KPO,Chennai,7 other locations,1.4k,Skill Development / Learning,
Flipkart Wholesale,3.8,-395,Bangalore / Bengaluru +57 other locations,,,940,"Promotions / Appraisal, Job Security, Salary & Benefits",
L&T Heavy Engineering,3.9,-395,Surat +25 other locations,,,767,"Promotions / Appraisal, Job Security",
Freecharge,3.8,-395,FinTech,Gurgaon / Gurugram,54 other locations,2.6k,"Promotions / Appraisal, Salary & Benefits, Job Security",
Oda Class,3.1,-394,EdTech,Bangalore / Bengaluru,7 other locations,586,"Job Security, Work Life Balance","Salary & Benefits, Promotions / Appraisal"
Asian Granito India,3.6,-395,Building Material,Ahmedabad,68 other locations,1.5k,"Job Security, Skill Development / Learning, Work Satisfaction",
Anunta Technology Management Services,3.5,-395,IT Services & Consulting,Mumbai,20 other locations,2k,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
Virchow Biotech,3.4,-394,Pharma,Hyderabad / Secunderabad,12 other locations,1.7k,"Company Culture, Skill Development / Learning, Work Satisfaction",
Amri Hospital,3.9,-394,Healthcare,Kolkata,11 other locations,1.2k,"Promotions / Appraisal, Company Culture, Work Satisfaction",
Win Medicare,4.1,-394,Pharma,New Delhi,59 other locations,955,Job Security,"Promotions / Appraisal, Work Satisfaction, Work Life Balance"
Bonfiglioli Transmissions Limited,3.6,-395,Industrial Machinery,Chennai,23 other locations,1.6k,,
International Automotive Components,3.8,-393,Auto Components,Pune,17 other locations,1.9k,"Job Security, Work Life Balance, Skill Development / Learning","Salary & Benefits, Promotions / Appraisal"
InfoBeans,3.4,-393,IT Services & Consulting,Indore,7 other locations,3.4k,"Skill Development / Learning, Job Security, Salary & Benefits",
NeoGrowth Credit,3.2,-393,NBFC,Mumbai,31 other locations,1.7k,"Promotions / Appraisal, Salary & Benefits, Job Security",
Nexteer Automotive,3.8,-393,Auto Components,Bangalore / Bengaluru,10 other locations,2.5k,"Skill Development / Learning, Job Security, Salary & Benefits",
Apex Laboratories,3.8,-393,Pharma,Chennai,61 other locations,1.8k,"Company Culture, Job Security, Work Life Balance",
TresVista,2.6,-393,Financial Services,Pune,11 other locations,2.7k,"Company Culture, Job Security, Promotions / Appraisal",
Konexions Back Office Services,2.8,-393,BPO,New Delhi,18 other locations,1.5k,"Work Life Balance, Job Security, Skill Development / Learning",
Freyr Solutions,3.7,-393,Legal,Hyderabad / Secunderabad,7 other locations,2.5k,"Company Culture, Work Life Balance, Job Security",
IB Group,3.8,-392,Food Processing,Rajnandgaon,77 other locations,1.5k,Work Life Balance,Promotions / Appraisal
ICFAI University,3.6,-392,Education & Training,Hyderabad / Secunderabad,56 other locations,883,"Job Security, Work Life Balance, Skill Development / Learning",
FCm Travel Solutions,3.1,-392,Travel & Tourism,New Delhi,23 other locations,1.6k,"Promotions / Appraisal, Company Culture, Work Satisfaction",
GE Vernova T&D India,4.1,-392,Power,Chennai,38 other locations,1.6k,"Promotions / Appraisal, Skill Development / Learning, Job Security",
RCM,4.1,-392,Retail,Bhilwara,45 other locations,591,Work Life Balance,"Promotions / Appraisal, Job Security, Salary & Benefits"
LKQ INDIA,3.5,-392,IT Services & Consulting,Bangalore / Bengaluru,3 other locations,2.2k,"Promotions / Appraisal, Salary & Benefits, Company Culture",
Mungi Group,3.9,-392,Auto Components,Pune,12 other locations,1.7k,"Job Security, Company Culture, Work Life Balance",
Theobroma Foods,3.9,-392,Food Processing,Mumbai,31 other locations,1.3k,"Company Culture, Job Security, Skill Development / Learning",
Infovision,3.5,-393,IT Services & Consulting,Pune,11 other locations,3.8k,Job Security,"Salary & Benefits, Promotions / Appraisal, Work Satisfaction"
IMS People,3.5,-391,Recruitment,Ahmedabad,25 other locations,2.1k,"Job Security, Promotions / Appraisal, Company Culture",
Capital Trust,3.4,-392,NBFC,New Delhi,116 other locations,845,Promotions / Appraisal,
Unified Mentor,4,-392,Bangalore / Bengaluru +38 other locations,,,348,"Skill Development / Learning, Company Culture, Job Security",
Chambal Fertilisers And Chemicals,3.9,-391,Agro Chemicals,Kota,52 other locations,1.5k,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
TCL,4,-391,Consumer Electronics & Appliances,Tirupati,48 other locations,1.9k,Skill Development / Learning,Promotions / Appraisal
Hiranandani Financial Services,3.9,-391,NBFC,Mumbai,86 other locations,858,"Job Security, Work Life Balance, Work Satisfaction",
Knack Global,3.1,-391,IT Services & Consulting,Jaipur,11 other locations,1.6k,Work Life Balance,"Promotions / Appraisal, Salary & Benefits"
Cipla Health,4.1,-391,Pharma,Mumbai,82 other locations,1.3k,Salary & Benefits,"Work Life Balance, Job Security, Company Culture"
ANR Software Private Limited,4.2,-390,IT Services & Consulting,Noida,5 other locations,1.1k,"Work Life Balance, Company Culture, Skill Development / Learning",Promotions / Appraisal
PC Solutions,3.9,-390,IT Services & Consulting,New Delhi,17 other locations,1.3k,Job Security,Promotions / Appraisal
Fortis Escorts Hospital,4.1,-390,Healthcare,New Delhi,16 other locations,932,"Job Security, Work Life Balance, Work Satisfaction",
CogentHubCX.AI,3.4,-390,BPO,Kolkata,8 other locations,743,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
Saama Technologies,3.7,-389,IT Services & Consulting,Pune,7 other locations,3.5k,"Promotions / Appraisal, Work Satisfaction",
Western Union,3.2,-389,FinTech,Pune,18 other locations,2.5k,"Company Culture, Skill Development / Learning, Job Security",Promotions / Appraisal
Greet Technologies,2.7,-389,BPO,Bangalore / Bengaluru,7 other locations,1.2k,Job Security,"Work Satisfaction, Promotions / Appraisal, Company Culture"
Aka Logistics,3.3,-389,Logistics,Kolkata,39 other locations,1.3k,"Job Security, Promotions / Appraisal, Work Life Balance",
Zealous Services,2.9,-389,Design,Chennai,8 other locations,1.2k,"Salary & Benefits, Job Security",
Nettur Technical Training Foundation,3.7,-388,Education & Training,Bangalore / Bengaluru,44 other locations,1.2k,"Salary & Benefits, Promotions / Appraisal, Company Culture",
Realty Assistant,3.4,-388,Real Estate,Noida,15 other locations,616,"Job Security, Company Culture",
PGP Glass,4,-388,Packaging,Vadodara,15 other locations,1.2k,Job Security,Promotions / Appraisal
Venus Remedies,4.2,-388,Pharma,Baddi,38 other locations,946,"Promotions / Appraisal, Job Security, Company Culture",
National Fertilizers,4.4,-389,Agro Chemicals,Panipat,33 other locations,1k,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
YKK,3.8,-388,Fashion & Textile,Rewari,24 other locations,1.3k,"Work Life Balance, Company Culture, Job Security",
MyMoneyMantra,3.2,-388,Internet,New Delhi,25 other locations,1.8k,"Work Life Balance, Company Culture",Promotions / Appraisal
JBS Enterprises,3.1,-388,Electronics Manufacturing,Mumbai,66 other locations,1k,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",
HealthKart,3.8,-387,Internet,Gurgaon / Gurugram,38 other locations,1.9k,Skill Development / Learning,
Broadcom,3.3,-387,Semiconductors,Hyderabad / Secunderabad,13 other locations,3k,"Work Life Balance, Work Satisfaction, Promotions / Appraisal",
Enterprise Growth Accelerator,3.5,-387,Faridabad +9 other locations,,,633,"Work Life Balance, Company Culture, Salary & Benefits",Job Security
Samsonite,4.1,-387,Retail,Nashik,58 other locations,1.3k,"Promotions / Appraisal, Work Satisfaction, Company Culture",
Ensono,4.2,-388,IT Services & Consulting,Pune,10 other locations,2.3k,"Salary & Benefits, Promotions / Appraisal",
Raptakos Brett and Company,3.5,-387,Pharma,Mumbai,54 other locations,1.4k,"Job Security, Work Life Balance",Promotions / Appraisal
Onsitego,3.9,-387,Internet,Mumbai,30 other locations,1.3k,"Promotions / Appraisal, Work Satisfaction, Company Culture",
Bmm Ispat,3.9,-387,Iron & Steel,Hosapete,12 other locations,1.4k,"Job Security, Skill Development / Learning, Work Life Balance",Promotions / Appraisal
Aculife Healthcare,3.1,-387,Pharma,Ahmedabad,34 other locations,1.4k,"Job Security, Skill Development / Learning, Company Culture",
Eversendai,3.7,-387,Engineering & Construction,Chennai,18 other locations,1.5k,Promotions / Appraisal,
Desun Hospital & Heart Institute,3.8,-387,Healthcare,Kolkata,12 other locations,967,Promotions / Appraisal,
Spice Money,4.1,-387,FinTech,Noida,103 other locations,1.4k,"Job Security, Work Life Balance, Company Culture",
Head Field Solutions,4.1,-386,Recruitment,Noida,4 other locations,1.2k,"Job Security, Company Culture, Skill Development / Learning",
Tessolve,3.5,-386,Semiconductors,Bangalore / Bengaluru,12 other locations,2.5k,Promotions / Appraisal,
Pon Pure Chemical,3.5,-386,Chemicals,Chennai,42 other locations,1.4k,"Work Life Balance, Work Satisfaction, Company Culture","Job Security, Promotions / Appraisal"
Supertech,4,-386,Real Estate,Noida,19 other locations,1.6k,"Promotions / Appraisal, Job Security, Work Satisfaction",
Polestar Analytics,4,-386,IT Services & Consulting,Noida,9 other locations,1.1k,"Job Security, Promotions / Appraisal, Work Satisfaction",
Citykart Retail,3.7,-386,Retail,New Delhi,67 other locations,931,"Promotions / Appraisal, Salary & Benefits, Job Security",
Moolchand Hospital,4.2,-385,Healthcare,New Delhi,10 other locations,736,"Work Life Balance, Company Culture, Job Security",
Sleek International,3.5,-385,Furniture & Furnishing,Mumbai,83 other locations,1.2k,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
Orient Bell,3.3,-386,Building Material,New Delhi,67 other locations,1.4k,Job Security,
Orient Bell,3.3,-386,Building Material,New Delhi,67 other locations,1.4k,"Promotions / Appraisal, Job Security, Work Satisfaction",
GRT Jewellers,4.2,-385,Jewellery,Chennai,36 other locations,1.4k,"Skill Development / Learning, Company Culture, Job Security",Promotions / Appraisal
P.D. Hinduja National Hospital and Medical Research Centre,3.9,-385,Healthcare,Mumbai,13 other locations,2.3k,"Job Security, Company Culture, Work Satisfaction",Promotions / Appraisal
Baramati Agro,3.8,-385,FMCG,Pune,46 other locations,1.4k,Work Life Balance,
Samsung SDS,3.1,-384,IT Services & Consulting,Gurgaon / Gurugram,20 other locations,2.5k,Work Life Balance,"Job Security, Promotions / Appraisal"
Invensis Technologies,3.6,-384,BPO,Bangalore / Bengaluru,12 other locations,1.8k,"Promotions / Appraisal, Salary & Benefits, Job Security",
Bonace Engineers,4.1,-384,Recruitment,Mumbai,53 other locations,1.2k,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
Welspun Flooring,3.8,-384,Building Material,Hyderabad / Secunderabad,27 other locations,1.2k,"Skill Development / Learning, Company Culture, Work Satisfaction",
Uplers,3.9,-384,Internet,Ahmedabad,12 other locations,1.6k,"Salary & Benefits, Skill Development / Learning",Job Security
Venkateshwara Hatcheries,3.8,-384,Food Processing,Pune,55 other locations,1.4k,"Work Life Balance, Company Culture, Work Satisfaction",Promotions / Appraisal
Indus Net Technologies,3.3,-383,IT Services & Consulting,Kolkata,7 other locations,1.9k,"Skill Development / Learning, Work Life Balance",
Imarticus Learning,4.1,-383,EdTech,Mumbai,23 other locations,1.1k,"Work Life Balance, Company Culture, Job Security",
Munjal Showa,3.2,-383,Auto Components,Gurgaon / Gurugram,12 other locations,1.2k,"Company Culture, Promotions / Appraisal, Work Life Balance",
Sunstone,3.7,-383,Education & Training,Gurgaon / Gurugram,25 other locations,1.6k,"Company Culture, Job Security, Work Life Balance",
Tyger Capital,4,-383,NBFC,Mumbai,112 other locations,1.2k,"Job Security, Company Culture, Promotions / Appraisal",
Systems Plus,4.2,-384,IT Services & Consulting,Pune,11 other locations,1.5k,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",
Etech Global Services,3.7,-383,BPO,Gandhinagar,11 other locations,1.7k,"Company Culture, Job Security, Skill Development / Learning",
Arvind Fashions,3.7,-382,Fashion & Textile,Bangalore / Bengaluru,56 other locations,1.7k,"Job Security, Promotions / Appraisal, Work Satisfaction",
MAYORA,3.8,-382,FMCG,Hyderabad / Secunderabad,84 other locations,969,"Job Security, Skill Development / Learning",Promotions / Appraisal
myGate,3.1,-382,Law Enforcement & Security,Bangalore / Bengaluru,20 other locations,2.3k,"Skill Development / Learning, Work Satisfaction","Salary & Benefits, Promotions / Appraisal"
Federal Mogul Goetze,4.1,-382,Auto Components,Bangalore / Bengaluru,32 other locations,1.3k,"Job Security, Work Life Balance, Work Satisfaction",
Kanpur Fertilizers & Chemicals,3.6,-382,Agro Chemicals,Kanpur,33 other locations,1.2k,"Job Security, Work Life Balance, Work Satisfaction",
Buhler,3.9,-381,Industrial Machinery,Bangalore / Bengaluru,28 other locations,1.8k,"Salary & Benefits, Promotions / Appraisal, Work Satisfaction",
Bank of Maharashtra,3.2,-381,Banking,Pune,75 other locations,1.4k,"Promotions / Appraisal, Work Satisfaction",
Silver Touch Technologies,3.2,-381,IT Services & Consulting,New Delhi,36 other locations,2.4k,"Work Life Balance, Company Culture, Job Security","Promotions / Appraisal, Salary & Benefits"
American Axle & Manufacturing,4.3,-381,Auto Components,Pune,11 other locations,1.4k,,
Glaze Trading India,4.2,-381,Retail,New Delhi,86 other locations,894,"Company Culture, Job Security, Skill Development / Learning",
Carrier Midea,3.7,-381,Semiconductors,Pune,52 other locations,1.7k,"Promotions / Appraisal, Salary & Benefits, Company Culture",
M Baazar,3.9,-381,Retail,Kolkata,90 other locations,793,"Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits"
Himatsingka Seide,3.6,-381,Fashion & Textile,Bangalore / Bengaluru,16 other locations,1.5k,"Company Culture, Job Security, Work Satisfaction",
Bhagwati Products,3.7,-381,Consumer Electronics & Appliances,Hyderabad / Secunderabad,17 other locations,1.1k,"Promotions / Appraisal, Salary & Benefits",
Mann And Hummel Filter,3.8,-381,Industrial Machinery,Bangalore / Bengaluru,20 other locations,1.7k,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
Impact Guru,3.6,-381,Internet,Mumbai,21 other locations,1.5k,"Job Security, Promotions / Appraisal, Work Satisfaction",
Indian Space Research Organisation,4.6,-380,Defence & Aerospace,Bangalore / Bengaluru,32 other locations,1.2k,"Promotions / Appraisal, Job Security, Work Satisfaction",
Kcc Buildcon,3.9,-380,Engineering & Construction,Gurgaon / Gurugram,55 other locations,1.4k,"Promotions / Appraisal, Salary & Benefits",
Dimension Data,4.4,-380,IT Services & Consulting,Bangalore / Bengaluru,53 other locations,1.3k,"Company Culture, Job Security, Work Life Balance",
Vidal Health Tpa,3.4,-380,Insurance,Bangalore / Bengaluru,40 other locations,1.2k,"Promotions / Appraisal, Salary & Benefits",
Bangalore International Airport,4.4,-380,Aviation,Bangalore / Bengaluru,14 other locations,1.5k,"Promotions / Appraisal, Salary & Benefits, Job Security",
Aizant Drug Research Solutions,3.8,-380,Clinical Research,Hyderabad / Secunderabad,4 other locations,1.2k,"Salary & Benefits, Skill Development / Learning, Company Culture",
SBI Capital Markets,3.6,-380,Mumbai +113 other locations,,,2k,Skill Development / Learning,Promotions / Appraisal
Gtpl Hathway,3.9,-379,Broadcasting,Ahmedabad,50 other locations,1.7k,Skill Development / Learning,"Promotions / Appraisal, Salary & Benefits, Company Culture"
ITC Limited - Paperboards Specialty Papers Division,3.9,-379,Packaging,Bhadrachalam,18 other locations,1.5k,Job Security,"Work Life Balance, Company Culture, Skill Development / Learning"
Vision India Services,3.8,-379,Recruitment,Noida,97 other locations,1.3k,"Work Satisfaction, Promotions / Appraisal, Company Culture",
Shiprocket Private Limited,3.4,-379,Internet,Gurgaon / Gurugram,13 other locations,2.5k,"Skill Development / Learning, Salary & Benefits, Job Security",
Shyam Sel & Power,3.8,-379,Industrial Machinery,Kolkata,25 other locations,1.4k,"Job Security, Work Life Balance",
HYT Engineering Company Pvt Ltd,3.3,-379,Industrial Machinery,Pune,26 other locations,1.3k,"Company Culture, Work Life Balance, Work Satisfaction",
Triumphant Institute of Management Education,3.8,-378,Education & Training,Hyderabad / Secunderabad,73 other locations,1.2k,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",
SML Isuzu,4.2,-378,Automobile,Chandigarh,51 other locations,1.3k,"Salary & Benefits, Work Life Balance",
Jyoti CNC Automation,4,-378,Industrial Machinery,Rajkot,30 other locations,1.3k,"Work Life Balance, Skill Development / Learning, Salary & Benefits",
Acadecraft,3.1,-378,EdTech,Noida,10 other locations,875,"Work Life Balance, Company Culture, Work Satisfaction",
Tirumala Milk Products,4.1,-378,Food Processing,Chennai,52 other locations,1.1k,"Company Culture, Skill Development / Learning, Salary & Benefits",
Marksans Pharma,3.4,-378,Pharma,Mumbai,21 other locations,1.6k,Promotions / Appraisal,
Bharat Aluminium Company (BALCO),4,-377,Metals & Mining,Korba,16 other locations,1.5k,"Salary & Benefits, Company Culture, Work Life Balance",
Hanon Systems,4,-377,Auto Components,Chennai,20 other locations,1.6k,"Job Security, Company Culture, Skill Development / Learning",
Moser Baer,3.9,-377,Consumer Electronics & Appliances,Noida,12 other locations,697,"Skill Development / Learning, Job Security, Company Culture",
Indian Institute of Technology Gandhinagar,4.1,-377,Education & Training,New Delhi,38 other locations,2.3k,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
Connectwise India,3.5,-377,IT Services & Consulting,Pune,9 other locations,2.7k,"Work Satisfaction, Work Life Balance, Company Culture",
Clean Harbors,3.3,-378,Waste Management,Hyderabad / Secunderabad,3 other locations,2.4k,"Job Security, Work Life Balance","Company Culture, Work Satisfaction, Promotions / Appraisal"
Manhattan Associates,3.5,-376,IT Services & Consulting,Bangalore / Bengaluru,5 other locations,3.4k,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
Grey Orange,3.2,-376,Software Product,Gurgaon / Gurugram,9 other locations,2.2k,"Job Security, Work Life Balance",Promotions / Appraisal
Alfanar,4,-376,Electronics Manufacturing,Chennai,34 other locations,895,"Job Security, Promotions / Appraisal, Company Culture",
XL Health,4.2,-376,Healthcare,Bangalore / Bengaluru,6 other locations,1.5k,"Company Culture, Salary & Benefits, Job Security",Promotions / Appraisal
Hero Housing Finance,3.9,-376,Financial Services,New Delhi,87 other locations,1.5k,"Work Life Balance, Skill Development / Learning, Work Satisfaction",
PropTiger.com,3.8,-376,Internet,Bangalore / Bengaluru,15 other locations,1.3k,"Promotions / Appraisal, Job Security, Company Culture",
Avalara Technologies,3.1,-376,Software Product,Pune,5 other locations,2.9k,"Job Security, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
Ipsos,3.3,-375,Analytics & KPO,Mumbai,27 other locations,2.3k,"Job Security, Work Life Balance, Promotions / Appraisal",
Kirloskar Toyota Textile Machinery,4.6,-375,Industrial Machinery,Bangalore / Bengaluru,10 other locations,795,Work Life Balance,"Salary & Benefits, Promotions / Appraisal"
Aeries Technology,3.2,-375,IT Services & Consulting,Bangalore / Bengaluru,7 other locations,2.3k,Promotions / Appraisal,
Yutika Natural,3.5,-375,Beauty & Personal Care,Indore,61 other locations,842,"Company Culture, Skill Development / Learning, Work Life Balance",Promotions / Appraisal
BPTP,4.1,-375,Real Estate,New Delhi,6 other locations,1.3k,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
Hajee A P Bava Construction,3.7,-375,Engineering & Construction,Hyderabad / Secunderabad,61 other locations,939,"Job Security, Work Satisfaction, Work Life Balance",
ABM Knowledgeware,3.7,-374,IT Services & Consulting,Mumbai,40 other locations,1.4k,"Company Culture, Job Security, Work Life Balance",
Accelya Solutions India Limited,3.4,-374,IT Services & Consulting,Mumbai,11 other locations,2.5k,"Skill Development / Learning, Company Culture, Work Life Balance",
STUDDS Accessories Limited,3.9,-374,Auto Components,Faridabad,14 other locations,1.2k,"Work Life Balance, Skill Development / Learning, Company Culture",
Piramal Swasthya,4.1,-374,Hyderabad / Secunderabad +61 other locations,,,964,"Promotions / Appraisal, Job Security",
Lotte India Corporation,4,-374,FMCG,Chennai,81 other locations,1.3k,"Promotions / Appraisal, Skill Development / Learning, Job Security",
SHARE Microfin,4.3,-374,Financial Services,Hyderabad / Secunderabad,129 other locations,554,"Job Security, Promotions / Appraisal",
Nippon Koei India,4.6,-374,Engineering & Construction,New Delhi,52 other locations,1.1k,"Job Security, Work Life Balance, Work Satisfaction",
JUSTO Realfintech,4.5,-374,Real Estate,Pune,12 other locations,605,"Skill Development / Learning, Salary & Benefits, Job Security",
Coronis Health,3.5,-374,Analytics & KPO,Mohali,10 other locations,1.1k,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
JUSTO Realfintech,4.5,-374,Real Estate,Pune,12 other locations,605,"Promotions / Appraisal, Work Satisfaction, Job Security",
Coronis Health,3.5,-374,Analytics & KPO,Mohali,10 other locations,1.1k,"Promotions / Appraisal, Company Culture, Work Satisfaction",
Haldia Petrochemicals,3.8,-374,Petrochemicals,Haldia,15 other locations,1.8k,"Company Culture, Skill Development / Learning, Work Satisfaction",
Xdbs,3,-373,Marketing & Advertising,Pune,4 other locations,1.6k,"Job Security, Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits"
AccorHotels,4.3,-373,Hospitality,New Delhi,42 other locations,1.2k,"Skill Development / Learning, Company Culture, Work Satisfaction",
Indian Overseas Bank,3.3,-373,Banking,Chennai,81 other locations,1.1k,"Job Security, Company Culture, Salary & Benefits",
UCAL Fuel Systems,3.8,-373,Auto Components,Chennai,18 other locations,1.3k,Job Security,Promotions / Appraisal
